sample_id,n_references,ani_min,ani_max,ani_mean,ani_median,ani_std,af_min,af_max,af_mean,af_median,af_std,quality_min,quality_max,quality_mean,quality_median,quality_std
PAL001,100,98.79,99.69,99.48200000000001,99.55,0.19406861225510574,89.72,95.32,92.834,92.965,1.0281325622975708,92.2,98.2,94.289,92.55000000000001,2.159587268835659
PAL004,52,97.35,100.0,98.90711538461538,99.61500000000001,1.1460406462669308,90.09,99.35,94.32499999999999,94.305,3.089423132903224,94.6,99.0,98.56153846153846,99.0,1.0049200233817948
PAL005,18,99.33,99.99,99.64222222222222,99.6,0.20612833111653825,81.48,94.93,89.27333333333334,89.485,2.9073436430569273,95.8,99.0,98.23333333333333,98.7,1.0157581926237937
PAL006,100,98.41,100.0,99.0468,98.995,0.37114042102848727,87.91,99.7,92.64540000000001,92.27000000000001,2.838779941375435,88.0,98.6,94.536,94.7,1.7874150400096076
PAL008,100,98.7,100.0,99.3259,99.535,0.4050292295226108,80.11,99.71,88.6909,91.025,3.7119493354148614,88.8,98.5,94.15100000000001,92.4,2.450252306117939
PAL010,50,96.68,99.96,98.50399999999999,98.775,0.8698979531988795,74.37,98.04,85.0624,85.78,5.571565038621713,78.3,97.1,95.07799999999999,96.5,3.226882617724331
PAL011,100,98.79,99.91,99.06569999999999,98.95,0.28343582816375174,81.84,93.94,89.5041,89.69,2.2390709179830814,88.1,98.5,93.416,92.4,2.1933195173185585
PAL012,100,98.63,99.54,99.00120000000001,98.935,0.2615272935135551,77.05,89.36,84.40460000000002,84.3,3.083565567011761,90.4,98.5,95.038,95.75,2.4922011689802854
PAL013,100,98.93,99.99,99.3349,99.39,0.23354317404158043,86.24,99.2,93.8342,94.18,1.8502471470186121,90.4,98.5,93.25399999999999,92.1,2.2190370101747323
PAL014,100,98.65,99.99,99.27959999999999,99.435,0.3891168970835755,79.94,99.59,88.414,90.72999999999999,3.696253358319598,88.8,98.5,94.108,92.4,2.4249411114374277
PAL015,100,95.74,98.49,96.84989999999999,95.985,1.1577062789338446,80.49,90.9,86.7734,86.505,2.4505819634519383,86.6,98.5,94.589,95.35,2.573991711978361
PAL016,100,98.7,99.93,99.0974,99.02,0.26520287641080514,80.92,94.95,88.7331,88.43,2.8719034953961677,89.9,98.5,93.699,92.4,2.3725916018335065
PAL017,100,97.3,99.99,98.26639999999999,98.28,0.7124187283083105,86.39,97.43,89.6822,89.245,2.1780686375546057,92.8,98.7,98.296,98.7,0.9810239960409136
PAL018,100,98.46,99.99,99.00399999999999,98.975,0.37568254382839517,87.19,98.9,91.899,91.515,2.831577174107958,88.0,98.6,94.536,94.7,1.7874150400095934
PAL022,100,98.87,100.0,99.37540000000001,99.14500000000001,0.4604069785077095,82.91,99.75,92.4666,91.055,5.350273517033559,81.9,98.5,93.11,92.4,3.527339112152561
PAL023,100,98.21,98.9,98.471,98.48,0.12113520286744399,80.09,90.54,84.4974,84.43,2.068321732197096,81.8,99.9,96.865,98.8,4.2501188337516105
PAL025,100,95.67,98.62,96.861,95.99,1.2505889521632365,76.35,88.03,83.77600000000001,83.765,2.6123158192289773,86.6,98.5,94.595,94.80000000000001,2.6311028144491093
PAL026,10,94.02,99.99,96.786,96.21000000000001,2.8430351543533257,68.06,99.1,82.268,78.975,11.697143810919542,90.5,97.5,93.75,93.1,2.7673693886673925
PAL027,100,98.19,99.8,98.4601,98.36500000000001,0.3547270824596005,75.7,91.7,83.18090000000001,83.295,3.031784184838087,91.7,98.5,94.895,95.3,2.2605253255548163
PAL030,100,98.76,99.77,99.09190000000001,99.01,0.28398568394701185,78.36,92.76,86.2706,86.055,3.426446703233693,89.9,98.5,94.085,92.4,2.5343847499158554
